TITLE;URL
Minuta De Reunión 49 En San Luis;reunion49
Reunion48;reunion48
Reunión 47 - 8 De Enero Del 2011 - Rosario, Santa Fe. Bar Davis - Oronio Y El Rio, 19 Pm;reunion47
Reunión 50  - Martes 23 De Agosto - Ciudad De Buenos Aires, En El Bar De La Esquina De Medrano Y Guardia Vieja - 19hs;reunion50
Reunión 05 - 13/01/2005 - Hip Bar;reunion05
Reunión 08 - 14/04/2005 - Hip Bar;reunion08
Reunión 12 - 30/11/2005 - Hip Bar;reunion12
Reunión 09 - 12/05/2005 - Hip Bar;reunion09
Reunión 06 - 10/02/2005 - Hip Bar;reunion06
Reunión 10 - 09/06/2005 - Hip Bar;reunion10
Reunión 07 - 10/03/2005 - Hip Bar;reunion07
Reunión 11 - 04/08/2005 - Hip Bar;reunion11
Reunión 54  - Sabado 31 De Marzo - Buenos Aires, Universidad De Quilmes - 12hs;reunion54
Reunión 56 - Sabado 5 De Mayo - Buenos Aires, Universidad De Luján;reunion56
Reunión 53  - Sabado 17 De Marzo - Ciudad De Córdoba, Oficinas De Machinalis - 22hs;reunion53
Reunión 55  - Miércoles 28 De Marzo - Rafaela, Cyrano Bar - 21hs;reunion55
Reunión 58  - Miércoles 18 De Julio De 2012 - Rafaela, Cyrano Bar - 20hs;reunion58
Reunión 57 - 8 De Julio De 2012 - Verónica, Buenos Aires - 21:00;reunion57
Reunión 52  - Miércoles 1 De Febrero - Ciudad De Córdoba, Oficinas De Machinalis - 19hs;reunion52
Reunión 51  - Jueves 26 De Enero - Ciudad De Buenos Aires, En El Bar De La Esquina De Medrano Y Guardia Vieja - 19hs;reunion51
Releaseprocedure;releaseprocedure
Próximas Reuniones;proximareunion
Reunion65;reunion65
Reunión 63 - 22/03/2014 - Villa Giardino - 22hs;reunion63
Reunion64;reunion64
Reunión 62 - 30/01/2014 - Caba - 19hs;reunion62
Pyar Santa Fe - Reunión 20;reunion20
Reunión 21 - 27/12/2006 - En Fm La Tribu - 19:00hs;reunion21
Reunión 17 - 05/07/2006 - Hip Bar;reunion17
Reunión 16 - 03/06/2006 - 9:00 Hs - Utn - Santa Fe;reunion16
Reunión 15 - 28/04/2006 - 20:00 Hs - Hip Bar;reunion15
Reunión 18 - 04/10/2006 - Hip Bar;reunion18
Reunión 14 - 08/03/2006 - Hip Bar;reunion14
Reunión 13 - 01/02/2006 - Hip Bar;reunion13
"Reunión 19, ""la Internacional"" - 10/11/2006 - La Casa Del Queso - A La Salida De Cafeconf";reunion19
Reunion71;reunion71
Reunion72;reunion72
Reunión 61 - Sábado 22 De Junio De 2013 - Villa Giardino, Córdoba - 22hs;reunion61
Reunión 59  - Miércoles 6 De Marzo De 2013 - Buenos Aires, Post Street Bar - 19hs;reunion59
Reunión 60 - Jueves 21 De Marzo De 2013 - Rosario, Antares - 19hs;reunion60
Reuniones Pyar;reuniones
Django Launch Party, (Buenos Aires ?);djangolaunchparty
Sprints;sprints
Posibles Lugares;2012
Python Day 3 Cordoba;pythonday3
Python Bug Day (Junio 2008);pythonbugday
Sebasgiustra;sebasgiustra
Mauricio Ferrari;mauricioferrari
Minutas De Reuniones;minutas
Autoridades;autoridades
Asociación Civil - Candidatos;candidatos
Encuesta Relevamiento - Asociación Civil;encuesta
Misión;mision
20160412;20160412
Reunión Irc 2016-07-12;20160712
Reunión Irc 2016-06-30;20160630
Reunión Irc 2016-05-26;20160526
Reunión Irc 2016-09-21;20160921
20160428;20160428
Reunión Irc 2016-05-10;20160510
Reunión Irc 2016-06-14;20160614
Bandera Ganadora: Pablo4;resultados
Fotos De La Bandera;fotos
Banderas Propuestas;descalificadas
Banderas Propuestas;propuestas
Con Y Sin Versalitas;variaciones
Banderas Cambiadas;cambiadas
Detalle De Votos;detallevotos
Uso De Python En La Universidad;usodepythonenlauniversidad
Alocado Alocador;alocadoalocador
Bienvenido A Pet !!! Una Magazine De Python Entre Todos :);revistapythoncomunidad
Tweety Finger;tweetyfinger
Un Manual En Cada Universidad;unmanualencadauniversidad
Correr Cdpedia Como Servidor;modoservidor
Changelogs;changelogs
Versiones Anteriores;versionesanteriores
Nueva Versión Disponible De La Cdpedia: 0.8;release08
Nueva Versión Disponible De La Cdpedia: Versión 0.7;release07
Nueva Versión Disponible De La Cdpedia: 0.8.2;release082
Notas De Prensa;prensa
Cdpedia, La Historia;historia
¿qué Es La Cdpedia?;cdpedia
Sistema De Gestion De Tesoreria Especializado En Fideicomiso.;getesfi
Python For Palmos;pythonpalm
Gauchito Gil;gauchitogil
Stim: Steam, The Incredible Machine;stim
Event Matching;eventmatching
Página Del Articulo Pyafipws: Facilitando, Extendiendo Y Liberando Los Servicios Web De Afip De La Pet2;pyafipws
Página Del Articulo Como Se Hizo Cómo Se Hizo Pyconar2010;comosehizo
Desafio;desafio
Articulos;articulos
Página Del Articulo Intro Django Pet2;introdjango
Página Del Articulo Decoradores De La Pet2;decoradores
Página Del Articulo Info Python;infopython
Página Del Articulo Depuración Y Defragmentación De Memoria De La Pet2;depuraciondefragmentacion
Desafio;desafio
Pet Deluxe / Edicion Especial De Pycon 2010 Cordoba;pet2
Release 1;release1
Como Se Organizo La Revista ?!;base
Geine;geine
Caucho;caucho
Colectadehardware;colectadehardware
Servidor De Pyar/adaptadores Scsi;scsi
Preguntas Sin Respuesta;preguntassinrespuesta
Alejo Aka Polar;alejopagadizabal
Deretiroacordoba;deretiroacordoba
Nicolás Demarchi;nicolasdemarchi
Marcelo Alaniz [1];marceloalaniz
Gonzalo Delgado;gonzalodelgado
Caucho;caucho
Trabajo;trabajo
Mariano Draghi;marianodraghi
